Non-BRTS,YE-320-D,YE-320-D-01,1,فرزة المصباحي,فرزة المصباحي,15.3187925,44.2023798,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-02,2,فرزة باب اليمن,فرزة باب اليمن,15.3496146,44.2202367,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-03,3,فرزة الحثيلي,فرزة الحثيلي,15.2834246,44.2703943,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-04,4,فرزة باب اليمن,فرزة باب اليمن,15.3495938,44.2201248,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-05,5,فرزة الحثيلي,فرزة الحثيلي,15.2831788,44.2699082,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-06,6,فرزة حريب,فرزة حريب,14.9311315,45.4998844,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-07,7,محطة باصات الشيخ - المنصورة,محطة باصات الشيخ - المنصورة,12.8726482,44.9918785,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-08,8,محطة سيارات اجرة للمحافظات (لحج - ابين - شبوة - حضرموت) صالونات رباعية,محطة سيارات اجرة للمحافظات (لحج - ابين - شبوة - حضرموت) صالونات رباعية,12.8675649,44.9958016,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-09,9,غير معروف,غير معروف,15.3782765,44.2142278,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-10,10,فرزة تعز التربة,فرزة تعز التربة,15.3469578,44.1920013,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-11,11,اجواء للنقل والسفريات,اجواء للنقل والسفريات,15.9473420,48.7866350,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-12,12,Ahwer Station,Ahwer Station,13.5174750,46.7109490,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-13,13,المنال للنقل والسفريات,المنال للنقل والسفريات,15.9469560,48.7871500,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-14,14,باصات المسافر,باصات المسافر,14.5389890,49.1278980,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-15,15,المسافر للسفريات,المسافر للسفريات,15.9467410,48.7870650,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-16,16,النمر للنقل,النمر للنقل,14.7546818,49.5965560,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-17,17,النمر للسفريات,النمر للسفريات,15.9468270,48.7870220,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-18,18,الرويشان للنقل الجماعي,الرويشان للنقل الجماعي,14.7546681,49.5963953,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-19,19,الرويشان للنقل والسفريات,الرويشان للنقل والسفريات,15.9470420,48.7888670,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-20,20,بن معمر للسفريات,بن معمر للسفريات,15.8416840,48.4567880,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-21,21,بن معمر للسفريات,بن معمر للسفريات,15.9473850,48.7871500,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-22,22,موقف باصات فوه,موقف باصات فوه,14.5394012,49.1268122,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-23,23,محطه باصات الشافعي,محطه باصات الشافعي,14.4643820,49.0259337,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-24,24,محطة شركة الراحة للنقل الجماعي,محطة شركة الراحة للنقل الجماعي,12.8771274,44.9789762,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-25,25,محطه باصات البريقه,محطه باصات البريقه,12.7602895,44.8868816,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-26,26,سوق بانافع التجاري,سوق بانافع التجاري,12.7547391,44.8904330,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-27,27,فرزة باصات الجامعة-الصافية,فرزة باصات الجامعة-الصافية,15.3647535,44.1891517,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-28,28,شركة باصات النقل الجماعي الرويشان,شركة باصات النقل الجماعي الرويشان,14.5368898,49.1269780,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-29,29,فرزة صنعاء,فرزة صنعاء,14.5496916,44.3941090,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-30,30,النور للنقل الداخلي والخارجي,النور للنقل الداخلي والخارجي,15.3165892,44.2270814,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-31,31,ورشة النقل الاولى وبن معمر,ورشة النقل الاولى وبن معمر,15.2976471,44.2310478,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-32,32,مفرق حمام علي,مفرق حمام علي,14.6255822,44.3567774,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-33,33,مفرق الجوبة,مفرق الجوبة,15.0603584,45.3066688,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-34,34,check point north,check point north,14.0165846,44.6773372,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-35,35,باصات ارتل - بيت بوس,باصات ارتل - بيت بوس,15.2537541,44.2157553,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-36,36,مفرق خيلة,مفرق خيلة,15.2259420,48.3793022,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-37,37,فرزة جولة مذبح,فرزة جولة مذبح,15.3743994,44.1760770,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-38,38,النور للنقل الداخلي والخارجي,النور للنقل الداخلي والخارجي,15.3171194,44.2284009,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-39,39,البراق للنقل الداخلي والدولي,البراق للنقل الداخلي والدولي,15.3172397,44.2286423,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-40,40,النقل الجماعي اليمني والدولي,النقل الجماعي اليمني والدولي,15.3167740,44.2290768,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-41,41,النور للنقل الداخلي والخارجي,النور للنقل الداخلي والخارجي,15.3165709,44.2286329,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-42,42,فرزة إب بعدان الشعر,فرزة إب بعدان الشعر,13.9567363,44.1811740,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-43,43,غير معروف,غير معروف,15.3809819,44.2315081,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-44,44,موقف باصات فرزة بعدان صنعاء,موقف باصات فرزة بعدان صنعاء,15.2778586,44.2191381,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-45,45,38h.p,38h.p,13.4610908,44.0102547,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-46,46,فرزة الشحر,فرزة الشحر,14.5546241,49.1363398,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-47,47,الفلج,الفلج,15.3619873,45.3302261,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-48,48,نقطة تفتيش,نقطة تفتيش,13.5055377,43.9544164,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-49,49,نقطة تفتيش,نقطة تفتيش,13.4756297,43.9885635,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-50,50,مفرق حريب المجمع,مفرق حريب المجمع,15.3881840,45.3402401,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-51,51,برحه الوقوف التحالف,برحه الوقوف التحالف,15.6440929,45.3224619,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-52,52,مفرق القهوه,مفرق القهوه,15.7823686,48.2952358,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-53,53,فرزة عصر,فرزة عصر,15.3440233,44.1699737,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-54,54,فرزة هائل - الحصبة,فرزة هائل - الحصبة,15.3310250,44.1836871,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-55,55,فرزة باصات الحصبة-الدائري,فرزة باصات الحصبة-الدائري,15.3464372,44.1898021,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-56,56,فرزت عصر الصباحه,فرزت عصر الصباحه,15.3404099,44.1596803,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-57,57,غير معروف,غير معروف,17.0036059,43.6665276,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-58,58,فرزة شميلة,فرزة شميلة,15.3079098,44.2352812,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-59,59,فرزة شميلة,فرزة شميلة,15.3079798,44.2389497,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-60,60,فرزة شميلة,فرزة شميلة,15.3080176,44.2390497,1,,,,,,,,,,,,,,,,
Non-BRTS,YE-320-D,YE-320-D-61,61,فرزة الباصات حق الصباحة,فرزة الباصات حق الصباحة,15.3404431,44.1595144,1,,,,,,,,,,,,,,,,
